Player,Mat,Runs,Wkts,player type
A Kumble,271,938,334,Bowler
J Srinath,229,883,315,Bowler
Z Khan,200,792,269,Bowler
H Singh,234,1237,265,Bowler
Kapil Dev,225,3783,253,All Rounder
I Phatan,120,1544,173,All Rounder
R Jadeja,147,1990,171,All Rounder
Tendulkhar,463,18426,154,Batsman
R Shwin,111,675,150,Bowler
B Kumar,103,476,114,Bowler
Youvaraj,304,8701,110,All Rounder
Ganguly,308,11363,100,Batsman
Sehwagh,251,8273,94,Batsman
H Pandya,45,731,44,All Rounder
S Raina,226,5615,36,Batsman
R sharma,201,7808,8,Batsman
V Khohli ,222,10533,4,Batsman
